,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
265,"Butler, JS; Kaye, ID; Sebastian, AS; Wagner, SC; Morrissey, PB; Schroeder, GD; Kepler, CK; Vaccaro, AR","Butler, Joseph S.; Kaye, I. David; Sebastian, Arjun S.; Wagner, Scott C.; Morrissey, Patrick B.; Schroeder, Gregory D.; Kepler, Christopher K.; Vaccaro, Alexander R.",The Evolution of Current Research Impact Metrics From Bibliometrics to Altmetrics?,CLINICAL SPINE SURGERY,English,Article,research impact metrics; altmetrics; alternative metrics,2017,30,5,,"js butler, id kaye, as sebastian, sc wagner, pb morrissey, gd schroeder, ck kepler, ar vaccaro","joseph s. butler, i. david kaye, arjun s. sebastian, scott c. wagner, patrick b. morrissey, gregory d. schroeder, christopher k. kepler, alexander r. vaccaro",evolution current research impact metrics from bibliometrics to altmetrics,clinical spine surgery,"alternative metrics, altmetrics, research impact metrics"
266,"Di Girolamo, N; Reynders, RM","Di Girolamo, Nicola; Reynders, Reint Meursinge",Health care articles with simple and declarative titles were more likely to be in the Altmetric Top 100,JOURNAL OF CLINICAL EPIDEMIOLOGY,English,Article,Dissemination; Media bias; Declarative titles; Alternative-level metrics; Reporting; Communication,2017,85,0,10.1016/j.jclinepi.2016.11.018,"n di girolamo, rm reynders","nicola di girolamo, reint meursinge reynders",health care articles with simple declarative titles were more likely to be in altmetric top 100,journal of clinical epidemiology,"alternative-level metrics, communication, declarative titles, dissemination, media bias, reporting"
267,"Yu, HQ; Xu, SM; Xiao, TT; Hemminger, BM; Yang, SL","Yu, Houqiang; Xu, Shenmeng; Xiao, Tingting; Hemminger, Brad M.; Yang, Siluo",Global science discussed in local altmetrics: Weibo and its comparison with Twitter,JOURNAL OF INFORMETRICS,English,Article,Altmetrics; Weibo; Altmetrics indicators; Scholarly communication; Distribution,2017,11,2,10.1016/j.joi.2017.02.011,"hq yu, sm xu, tt xiao, bm hemminger, sl yang","houqiang yu, shenmeng xu, tingting xiao, brad m. hemminger, siluo yang",global science discussed in local altmetrics weibo its comparison with twitter,journal of informetrics,"altmetrics, altmetrics indicators, distribution, scholarly communication, weibo"
268,"Alhoori, H; Furuta, R","Alhoori, Hamed; Furuta, Richard",Recommendation of scholarly venues based on dynamic user interests,JOURNAL OF INFORMETRICS,English,Article,Recommender system; User modeling; Collaborative filtering; Scholarly communication; Social media; Altmetrics,2017,11,2,10.1016/j.joi.2017.03.006,"h alhoori, r furuta","hamed alhoori, richard furuta",recommendation scholarly venues based on dynamic user interests,journal of informetrics,"altmetrics, collaborative filtering, recommender system, scholarly communication, social media, user modeling"
269,"Kolahi, J; Iranmanesh, P; Khazaei, S","Kolahi, J.; Iranmanesh, P.; Khazaei, S.",Altmetric analysis of 2015 dental literature: a cross sectional survey,BRITISH DENTAL JOURNAL,English,Article,,2017,222,9,10.1038/sj.bdj.2017.408,"j kolahi, p iranmanesh, s khazaei","j. kolahi, p. iranmanesh, s. khazaei",altmetric analysis 2015 dental literature a cross sectional survey,british dental journal,
270,"Ke, Q; Ahn, YY; Sugimoto, CR","Ke, Qing; Ahn, Yong-Yeol; Sugimoto, Cassidy R.",A systematic identification and analysis of scientists on Twitter,PLOS ONE,English,Article,,2017,12,4,10.1371/journal.pone.0175368,"q ke, yy ahn, cr sugimoto","qing ke, yong-yeol ahn, cassidy r. sugimoto",a systematic identification analysis scientists on twitter,plos one,
271,"Buttliere, B; Buder, J","Buttliere, Brett; Buder, Juergen",Personalizing papers using Altmetrics: comparing paper 'Quality' or 'Impact' to person 'Intelligence' or 'Personality',SCIENTOMETRICS,English,Article,Bibliometrics; Altmetrics; Citation counts; Psychometrics; Factor analysis; Intelligence; Personality; PLoS,2017,111,1,10.1007/s11192-017-2246-9,"b buttliere, j buder","brett buttliere, juergen buder",personalizing papers using altmetrics comparing paper quality or impact to person intelligence or personality,scientometrics,"altmetrics, bibliometrics, citation counts, factor analysis, intelligence, personality, plos, psychometrics"
272,"Yu, HQ","Yu, Houqiang",Context of altmetrics data matters: an investigation of count type and user category,SCIENTOMETRICS,English,Article,Altmetrics; Count type; User category; Correlation analysis; Twitter,2017,111,1,10.1007/s11192-017-2251-z,hq yu,houqiang yu,context altmetrics data matters an investigation count type user category,scientometrics,"altmetrics, correlation analysis, count type, twitter, user category"
273,"Liu, XZ; Fang, H","Liu, Xuan Zhen; Fang, Hui",What we can learn from tweets linking to research papers,SCIENTOMETRICS,English,Article,Altmetrics; Tweet; Academic paper; Research evaluation; Function of science; Electronic publishing,2017,111,1,10.1007/s11192-017-2279-0,"xz liu, h fang","xuan zhen liu, hui fang",what we can learn from tweets linking to research papers,scientometrics,"academic paper, altmetrics, electronic publishing, function of science, research evaluation, tweet"
274,"Romero-Frias, E; Robinson-Garcia, N","Romero-Frias, Esteban; Robinson-Garcia, Nicolas",Social Labs in Universities: Innovation and impact in Medialab UGR,COMUNICAR,English,Article,Medialab; altmetrics; digital culture; digital society; social impact; Twitter; social media; innovation,2017,25,51,10.3916/c51-2017-03,"e romero-frias, n robinson-garcia","esteban romero-frias, nicolas robinson-garcia",social labs in universities innovation impact in medialab ugr,comunicar,"altmetrics, digital culture, digital society, innovation, medialab, social impact, social media, twitter"
275,"Bornmann, L","Bornmann, Lutz",Is Collaboration Among Scientists Related to the Citation Impact of Papers Because Their Quality Increases With Collaboration? An Analysis Based on Data From F1000Prime and Normalized Citation Scores,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,,2017,68,4,10.1002/asi.23728,l bornmann,lutz bornmann,is collaboration among scientists related to citation impact papers because their quality increases with collaboration an analysis based on data from f1000prime normalized citation scores,journal of the association for information science and technology,
276,"Bornmann, L; Haunschild, R","Bornmann, Lutz; Haunschild, Robin",Relative Citation Ratio (RCR): An Empirical Attempt to Study a New Field-Normalized Bibliometric Indicator,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,,2017,68,4,10.1002/asi.23729,"l bornmann, r haunschild","lutz bornmann, robin haunschild",relative citation ratio rcr an empirical attempt to study a new field normalized bibliometric indicator,journal of the association for information science and technology,
277,"Ochsner, M; Hug, S; Galleron, I","Ochsner, Michael; Hug, Sven; Galleron, Ioana",The future of research assessment in the humanities: bottom-up assessment procedures,PALGRAVE COMMUNICATIONS,English,Article,,2017,3,0,10.1057/palcomms.2017.20,"m ochsner, s hug, i galleron","michael ochsner, sven hug, ioana galleron",future research assessment in humanities bottom up assessment procedures,palgrave communications,
278,"Ravenscroft, J; Liakata, M; Clare, A; Duma, D","Ravenscroft, James; Liakata, Maria; Clare, Amanda; Duma, Daniel",Measuring scientific impact beyond academia: An assessment of existing impact metrics and proposed improvements,PLOS ONE,English,Article,,2017,12,3,10.1371/journal.pone.0173152,"j ravenscroft, m liakata, a clare, d duma","james ravenscroft, maria liakata, amanda clare, daniel duma",measuring scientific impact beyond academia an assessment existing impact metrics proposed improvements,plos one,
280,"Boudry, C; Chartron, G","Boudry, Christophe; Chartron, Ghislaine",Availability of digital object identifiers in publications archived by PubMed,SCIENTOMETRICS,English,Article,Digital object identifier; PubMed; Country; Publisher; Biology; Medicine; Publication; Journal article,2017,110,3,10.1007/s11192-016-2225-6,"c boudry, g chartron","christophe boudry, ghislaine chartron",availability digital object identifiers in publications archived by pubmed,scientometrics,"biology, country, digital object identifier, journal article, medicine, publication, publisher, pubmed"
281,"Onyancha, OB","Onyancha, Omwoyo Bosire",Altmetrics of South African Journals: Implications for Scholarly Impact of South African Research,PUBLISHING RESEARCH QUARTERLY,English,Article,Altmetrics; Bibliometrics; Compedia; Google scholar; Impact factor; Scopus,2017,33,1,10.1007/s12109-016-9485-0,ob onyancha,omwoyo bosire onyancha,altmetrics south african journals implications for scholarly impact south african research,publishing research quarterly,"altmetrics, bibliometrics, compedia, google scholar, impact factor, scopus"
282,"Haunschild, R; Bornmann, L","Haunschild, Robin; Bornmann, Lutz",How many scientific papers are mentioned in policy-related documents? An empirical investigation using Web of Science and Altmetric data,SCIENTOMETRICS,English,Article,Bibliometrics; Altmetrics; Policy documents; Policy-related mentions; Societal impact,2017,110,3,10.1007/s11192-016-2237-2,"r haunschild, l bornmann","robin haunschild, lutz bornmann",how many scientific papers are mentioned in policy related documents an empirical investigation using web science altmetric data,scientometrics,"altmetrics, bibliometrics, policy documents, policy-related mentions, societal impact"
283,"Fernandez-Cano, A; Fernandez-Guerrero, IM","Fernandez-Cano, Antonio; Fernandez-Guerrero, Ines M.",A multivariate model for evaluating emergency medicine journals,SCIENTOMETRICS,English,Article,Scientific journals; Emergency medicine; Multivariate evaluation; Factor analysis; Cluster analysis; Factor scores,2017,110,2,10.1007/s11192-016-2197-6,"a fernandez-cano, im fernandez-guerrero","antonio fernandez-cano, ines m. fernandez-guerrero",a multivariate model for evaluating emergency medicine journals,scientometrics,"cluster analysis, emergency medicine, factor analysis, factor scores, multivariate evaluation, scientific journals"
284,"Thelwall, M","Thelwall, Mike",Three practical field normalised alternative indicator formulae for research evaluation,JOURNAL OF INFORMETRICS,English,Article,,2017,11,1,10.1016/j.joi.2016.12.002,m thelwall,mike thelwall,three practical field normalised alternative indicator formulae for research evaluation,journal of informetrics,
285,"Bornmann, L; Haunschild, R","Bornmann, Lutz; Haunschild, Robin",Does evaluative scientometrics lose its main focus on scientific quality by the new orientation towards societal impact?,SCIENTOMETRICS,English,Article,Scientific revolution; Research impact; Research quality; Bibliometrics; Altmetrics; Societal impact,2017,110,2,10.1007/s11192-016-2200-2,"l bornmann, r haunschild","lutz bornmann, robin haunschild",does evaluative scientometrics lose its main focus on scientific quality by new orientation towards societal impact,scientometrics,"altmetrics, bibliometrics, research impact, research quality, scientific revolution, societal impact"
286,"Zhao, RY; Wei, MK","Zhao, Rongying; Wei, Mingkun",Impact evaluation of open source software: an Altmetrics perspective,SCIENTOMETRICS,English,Article,Altmetrics; Impact evaluation; Open source software; Python; Depsy,2017,110,2,10.1007/s11192-016-2204-y,"ry zhao, mk wei","rongying zhao, mingkun wei",impact evaluation open source software an altmetrics perspective,scientometrics,"altmetrics, depsy, impact evaluation, open source software, python"
287,"Munnolli, SS; Pujar, SM","Munnolli, Satish S.; Pujar, Shamprasad M.",Scientometric study of Indian cancer research based on Scopus database,COLLNET JOURNAL OF SCIENTOMETRICS AND INFORMATION MANAGEMENT,English,Article,Neoplasms; Cancer Research; Scientometrics; India; Indicators,2017,11,2,10.1080/09737766.2017.1284729,"ss munnolli, sm pujar","satish s. munnolli, shamprasad m. pujar",scientometric study indian cancer research based on scopus database,collnet journal of scientometrics and information management,"cancer research, india, indicators, neoplasms, scientometrics"
288,"Karanatsiou, D; Misirlis, N; Vlachopoulou, M","Karanatsiou, Dimitra; Misirlis, Nikolaos; Vlachopoulou, Maro",Bibliometrics and altmetrics literature review Performance indicators and comparison analysis,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Bibliometrics; Altmetrics; Review; Manipulation; Comparison analysis; Performance indicator,2017,18,1,10.1108/pmm-08-2016-0036,"d karanatsiou, n misirlis, m vlachopoulou","dimitra karanatsiou, nikolaos misirlis, maro vlachopoulou",bibliometrics altmetrics literature review performance indicators comparison analysis,performance measurement and metrics,"altmetrics, bibliometrics, comparison analysis, manipulation, performance indicator, review"
289,"Naude, F","Naude, Filistea","COMPARING DOWNLOADS, MENDELEY READERSHIP AND GOOGLE SCHOLAR CITATIONS AS INDICATORS OF ARTICLE PERFORMANCE",ELECTRONIC JOURNAL OF INFORMATION SYSTEMS IN DEVELOPING COUNTRIES,English,Article,Altmetrics; alternative metrics; usage statistics; article level metrics; open access; Google Scholar; downloads; Mendeley readership; ICT4D; ICTD; Information and communication technologies for development,2017,78,1,,f naude,filistea naude,comparing downloads mendeley readership google scholar citations as indicators article performance,electronic journal of information systems in developing countries,"alternative metrics, altmetrics, article level metrics, downloads, google scholar, ict4d, ictd, information and communication technologies for development, mendeley readership, open access, usage statistics"
290,"Adriaanse, L; Rensleigh, C","Adriaanse, Leslie; Rensleigh, Chris",E-visibility of environmental science researchers at the University of South Africa,SOUTH AFRICAN JOURNAL OF LIBRARIES AND INFORMATION SCIENCE,English,Article,E-visibility; research e-profiles; online presence; online discoverability; online accessibility,2017,83,2,10.7553/83-2-1636,"l adriaanse, c rensleigh","leslie adriaanse, chris rensleigh",visibility environmental science researchers at university south africa,south african journal of libraries and information science,"e-visibility, online accessibility, online discoverability, online presence, research e-profiles"
291,"Golub, K; Hansson, J","Golub, Koraljka; Hansson, Joacim",(Big) Data in Library and Information Science: A Brief Overview of Some Important Problem Areas,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,English,Article,Big Data; Library and Information Science; Scholarly Communication; Bibliometrics; Data Sharing; Data Curation,2017,23,11,,"k golub, j hansson","koraljka golub, joacim hansson",big data in library information science a brief overview some important problem areas,journal of universal computer science,"bibliometrics, big data, data curation, data sharing, library and information science, scholarly communication"
292,"Bhardwaj, RK","Bhardwaj, Raj Kumar","Academic social networking sites Comparative analysis of ResearchGate, Academia. edu, Mendeley and Zotero",INFORMATION AND LEARNING SCIENCE,English,Article,Mendeley; Social networking sites; ResearchGate; Zotero; Academia.edu; Altmetrics features,2017,118,5-6,10.1108/ils-03-2017-0012,rk bhardwaj,raj kumar bhardwaj,academic social networking sites comparative analysis researchgate academia edu mendeley zotero,information and learning science,"academia.edu, altmetrics features, mendeley, researchgate, social networking sites, zotero"
293,"Williams, AE","Williams, Ann E.",F1000: an overview and evaluation,INFORMATION AND LEARNING SCIENCE,English,Article,Scholarly publishing; F1000; Altmetrics; Academic social networks; Networked peer review; Open peer review,2017,118,7-8,10.1108/ils-06-2017-0065,ae williams,ann e. williams,f1000 an overview evaluation,information and learning science,"academic social networks, altmetrics, f1000, networked peer review, open peer review, scholarly publishing"
294,"Villegas, AC; Gonzalez, MJP; Enrique, LEP","Cespedes Villegas, Alejandor; Peralta Gonzalez, Maria Josefa; Paz Enrique, Luis Ernesto","Alternative indicators of Universidad Central ""Marta Abreu"" of Las Villas scientific activity in the Web 2.0",CUADERNOS DE DOCUMENTACION MULTIMEDIA,Spanish,Article,"scientific activity; social and academic networks; altmetrics; Universidad Central ""Marta Abreu"" de Las Villas",2017,28,2,10.5209/cdmu.57070,"ac villegas, mjp gonzalez, lep enrique","alejandor cespedes villegas, maria josefa peralta gonzalez, luis ernesto paz enrique",alternative indicators universidad central marta abreu villas scientific activity in web 2 0,cuadernos de documentacion multimedia,"altmetrics, scientific activity, social and academic networks, universidad central ""marta abreu"" de las villas"
295,"Costas, R; Perianes-Rodriguez, A; Ruiz-Castillo, J","Costas, Rodrigo; Perianes-Rodriguez, Antonio; Ruiz-Castillo, Javier","On the quest for currencies of science Field ""exchange rates"" for citations and Mendeley readership",ASLIB JOURNAL OF INFORMATION MANAGEMENT,English,Article,Citation analysis; Scientometrics; Altmetrics; Currencies of science; Mendeley readership; Reward system of science,2017,69,5,10.1108/ajim-01-2017-0023,"r costas, a perianes-rodriguez, j ruiz-castillo","rodrigo costas, antonio perianes-rodriguez, javier ruiz-castillo",on quest for currencies science field exchange rates for citations mendeley readership,aslib journal of information management,"altmetrics, citation analysis, currencies of science, mendeley readership, reward system of science, scientometrics"
296,"Ortega, JL","Luis Ortega, Jose",The presence of academic journals on Twitter and its relationship with dissemination (tweets) and research impact (citations),ASLIB JOURNAL OF INFORMATION MANAGEMENT,English,Article,Webometrics; Twitter; Altmetrics; Citation; Plum analytics; Research journals,2017,69,6,10.1108/ajim-02-2017-0055,jl ortega,jose luis ortega,presence academic journals on twitter its relationship with dissemination tweets research impact citations,aslib journal of information management,"altmetrics, citation, plum analytics, research journals, twitter, webometrics"
297,"Fang, ZC; Guo, XH; Yang, Y; Yang, ZK; Li, QC; Hu, ZG; Wang, XW","Fang, Zhichao; Guo, Xinhui; Yang, Yang; Yang, Zhongkai; Li, Qingchun; Hu, Zhigang; Wang, Xianwen",Measuring global research activities using geographic data of scholarly article visits,ELECTRONIC LIBRARY,English,Article,Article usage; Big geographical data; Knowledge diffusion; Research activity,2017,35,4,10.1108/el-10-2016-0228,"zc fang, xh guo, y yang, zk yang, qc li, zg hu, xw wang","zhichao fang, xinhui guo, yang yang, zhongkai yang, qingchun li, zhigang hu, xianwen wang",measuring global research activities using geographic data scholarly article visits,electronic library,"article usage, big geographical data, knowledge diffusion, research activity"
298,"Asnafi, AR","Asnafi, Amir Reza",Presence of the Iranian Library and the Information Science Departments in ResearchGate,DESIDOC JOURNAL OF LIBRARY & INFORMATION TECHNOLOGY,English,Article,Academic social networks; ResearchGate; Iranian faculty members; library and information science; altmetrics,2017,37,4,10.14429/djlit.37.4.10561,ar asnafi,amir reza asnafi,presence iranian library information science departments in researchgate,desidoc journal of library information technology,"academic social networks, altmetrics, iranian faculty members, library and information science, researchgate"
299,"Ortega, JL","Luis Ortega, Jose","Toward a homogenization of academic social sites A longitudinal study of profiles in Academia.edu, Google Scholar Citations and ResearchGate",ONLINE INFORMATION REVIEW,English,Article,Academia.edu; ResearchGate; Longitudinal studies; Academic social sites; Google Scholar Citations,2017,41,6,10.1108/oir-01-2016-0012,jl ortega,jose luis ortega,toward a homogenization academic social sites a longitudinal study profiles in academia edu google scholar citations researchgate,online information review,"academia.edu, academic social sites, google scholar citations, longitudinal studies, researchgate"
300,"Bonnet, JL; Mendez-Brady, M","Bonnet, Jennifer L.; Mendez-Brady, Marisa",Making the mission visible: altmetrics and nontraditional publishing,DIGITAL LIBRARY PERSPECTIVES,English,Article,Altmetrics; Impact; Institutional repository; Scholarly communication; Library instruction and outreach; Nontraditional publishing,2017,33,4,10.1108/dlp-01-2017-0002,"jl bonnet, m mendez-brady","jennifer l. bonnet, marisa mendez-brady",making mission visible altmetrics nontraditional publishing,digital library perspectives,"altmetrics, impact, institutional repository, library instruction and outreach, nontraditional publishing, scholarly communication"
301,"Wong, EY; Vital, SM","Wong, Elise Y.; Vital, Sarah M.",PlumX: a tool to showcase academic profile and distinction,DIGITAL LIBRARY PERSPECTIVES,English,Article,Altmetrics; Research impact; Bibliometrics; Faculty scholarship output; Plum analytics; PlumX metrics,2017,33,4,10.1108/dlp-12-2016-0047,"ey wong, sm vital","elise y. wong, sarah m. vital",plumx a tool to showcase academic profile distinction,digital library perspectives,"altmetrics, bibliometrics, faculty scholarship output, plum analytics, plumx metrics, research impact"
302,"Starbuck, E; Purtee, S","Starbuck, Edith; Purtee, Sharon",Altmetric scores: short-term popularity or long-term scientific importance,DIGITAL LIBRARY PERSPECTIVES,English,Article,Faculty; Altmetrics; Citations; Publications; Implications; Traditional metrics,2017,33,4,10.1108/dlp-01-2017-0005,"e starbuck, s purtee","edith starbuck, sharon purtee",altmetric scores short term popularity or long term scientific importance,digital library perspectives,"altmetrics, citations, faculty, implications, publications, traditional metrics"
303,"Syamili, C; Rekha, RV","Syamili, C.; Rekha, R. V.",Do altmetric correlate with citation? : A study based on PLOS ONE journal,COLLNET JOURNAL OF SCIENTOMETRICS AND INFORMATION MANAGEMENT,English,Article,Altmetrics; PLOS ONE; Research impact; Citation metrics; Bibliometric,2017,11,1,10.1080/09737766.2016.1260815,"c syamili, rv rekha","c. syamili, r. v. rekha",do altmetric correlate with citation a study based on plos one journal,collnet journal of scientometrics and information management,"altmetrics, bibliometric, citation metrics, plos one, research impact"
304,"He, L; Han, ZB","He, Lin; Han, Zhengbiao",Do usage counts of scientific data make sense? An investigation of the Dryad repository,LIBRARY HI TECH,English,Article,Bibliometrics; Data sharing; Citation counts; Dryad repository; Scientific data; Usage counts,2017,35,2,10.1108/lht-12-2016-0158,"l he, zb han","lin he, zhengbiao han",do usage counts scientific data make sense an investigation dryad repository,library hi tech,"bibliometrics, citation counts, data sharing, dryad repository, scientific data, usage counts"
305,"Williams, AE","Williams, Ann E.",Altmetrics: an overview and evaluation,ONLINE INFORMATION REVIEW,English,Article,Altmetrics; Research impact; Academic networks,2017,41,3,10.1108/oir-10-2016-0294,ae williams,ann e. williams,altmetrics an overview evaluation,online information review,"academic networks, altmetrics, research impact"
306,"Na, JC; Ye, YE","Na, Jin-Cheon; Ye, Yingxin Estella",Content analysis of scholarly discussions of psychological academic articles on Facebook,ONLINE INFORMATION REVIEW,English,Article,Facebook; Psychology; Content analysis; Altmetrics; Scholarly communication,2017,41,3,10.1108/oir-02-2016-0058,"jc na, ye ye","jin-cheon na, yingxin estella ye",content analysis scholarly discussions psychological academic articles on facebook,online information review,"altmetrics, content analysis, facebook, psychology, scholarly communication"
307,"Thelwall, M","Thelwall, Mike",Are Mendeley reader counts high enough for research evaluations when articles are published?,ASLIB JOURNAL OF INFORMATION MANAGEMENT,English,Article,Mendeley; Bibliometrics; Citation analysis; Altmetrics; Early impact; Mendeley readers,2017,69,2,10.1108/ajim-01-2017-0028,m thelwall,mike thelwall,are mendeley reader counts high enough for research evaluations when articles are published,aslib journal of information management,"altmetrics, bibliometrics, citation analysis, early impact, mendeley, mendeley readers"
308,"Ali, MY; Richardson, J","Ali, Muhammad Yousuf; Richardson, Joanna",Pakistani LIS scholars' altmetrics in ResearchGate,PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,English,Article,Research impact; Altmetrics; Academic social networking; LIS researcher; Researcher profile; ReserachGate,2017,51,2,10.1108/prog-07-2016-0052,"my ali, j richardson","muhammad yousuf ali, joanna richardson",pakistani lis scholars altmetrics in researchgate,program electronic library and information systems,"academic social networking, altmetrics, lis researcher, research impact, researcher profile, reserachgate"
309,"Maricato, JD; Lima, ELM","Maricato, Joao de Melo; Moura Lima, Ethamillya Lyanna",ALTMETRICS IMPACT: aspects observed with profiles analyzes on Facebook and Twitter,INFORMACAO & SOCIEDADE-ESTUDOS,Portuguese,Article,Scientific communication; Altmetrics; Alternative metrics; Social networks; Scientific impact,2017,27,1,,"jd maricato, elm lima","joao de melo maricato, ethamillya lyanna moura lima",altmetrics impact aspects observed with profiles analyzes on facebook twitter,informacao sociedade estudos,"alternative metrics, altmetrics, scientific communication, scientific impact, social networks"
310,"Webster, BM","Webster, Berenika M.",Principles to guide reliable and ethical research evaluation using metric-based indicators of impact,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Metrics; Impact; Altmetrics; Academic practice; Metric-based indicators; Scholarly impact,2017,18,1,10.1108/pmm-06-2016-0025,bm webster,berenika m. webster,principles to guide reliable ethical research evaluation using metric based indicators impact,performance measurement and metrics,"academic practice, altmetrics, impact, metric-based indicators, metrics, scholarly impact"
311,"Carpenter, TA; Lagace, NM","Carpenter, Todd A.; Lagace, Nettie M.",Defining community recommended practice for altmetrics The NISO alternative metrics project completes its work,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Impact; Metrics; Bibliometrics; Standards; Altmetrics; NISO,2017,18,1,10.1108/pmm-09-2016-0039,"ta carpenter, nm lagace","todd a. carpenter, nettie m. lagace",defining community recommended practice for altmetrics niso alternative metrics project completes its work,performance measurement and metrics,"altmetrics, bibliometrics, impact, metrics, niso, standards"
312,"Tattersall, A","Tattersall, Andy",Supporting the research feedback loop Why and how library and information professionals should engage with altmetrics to support research,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Research support; Altmetrics; Librarianship; Library; Alternative indicators; Library and information professionals,2017,18,1,10.1108/pmm-08-2016-0037,a tattersall,andy tattersall,supporting research feedback loop why how library information professionals should engage with altmetrics to support research,performance measurement and metrics,"alternative indicators, altmetrics, librarianship, library, library and information professionals, research support"
313,"Cho, J","Cho, Jane",A comparative study of the impact of Korean research articles in four academic fields using altmetrics,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Metrics; Bibliometrics; Citation; Altmetrics; Impactstory; Korean research,2017,18,1,10.1108/pmm-02-2016-0005,j cho,jane cho,a comparative study impact korean research articles in four academic fields using altmetrics,performance measurement and metrics,"altmetrics, bibliometrics, citation, impactstory, korean research, metrics"
314,"Shrivastava, R; Mahajan, P","Shrivastava, Rishabh; Mahajan, Preeti",An altmetric analysis of ResearchGate profiles of physics researchers A study of University of Delhi (India),PERFORMANCE MEASUREMENT AND METRICS,English,Article,Bibliometrics; Research evaluation; Altmetrics; Scholarly communication; Academic social networking; ResearchGate,2017,18,1,10.1108/pmm-07-2016-0033,"r shrivastava, p mahajan","rishabh shrivastava, preeti mahajan",an altmetric analysis researchgate profiles physics researchers a study university delhi india,performance measurement and metrics,"academic social networking, altmetrics, bibliometrics, research evaluation, researchgate, scholarly communication"
315,"Pooladian, A; Borrego, A","Pooladian, Aida; Borrego, Angel",Twenty years of readership of library and information science literature under Mendeley's microscope,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Information behaviour; Scholarly communication; Mendeley; Library and information science; Altmetrics; Reference management software,2017,18,1,10.1108/pmm-02-2016-0006,"a pooladian, a borrego","aida pooladian, angel borrego",twenty years readership library information science literature under mendeleys microscope,performance measurement and metrics,"altmetrics, information behaviour, library and information science, mendeley, reference management software, scholarly communication"
316,"Htoo, THH; Na, JC","Htoo, Tint Hla Hla; Na, Jin-Cheon",Disciplinary differences in altmetrics for social sciences,ONLINE INFORMATION REVIEW,English,Article,Research impact; Social media; Bibliometrics; Altmetrics; Scientometrics,2017,41,2,10.1108/oir-12-2015-0386,"thh htoo, jc na","tint hla hla htoo, jin-cheon na",disciplinary differences in altmetrics for social sciences,online information review,"altmetrics, bibliometrics, research impact, scientometrics, social media"
317,"Araujo, R; Sorensen, AA; Konkiel, S; Bloem, BR","Araujo, Rui; Sorensen, Aaron A.; Konkiel, Stacy; Bloem, Bastiaan R.",Top Altmetric Scores in the Parkinson's Disease Literature,JOURNAL OF PARKINSONS DISEASE,English,Article,Altmetric; impact factor; Parkinson's disease; social media,2017,7,1,10.3233/jpd-179000,"r araujo, aa sorensen, s konkiel, br bloem","rui araujo, aaron a. sorensen, stacy konkiel, bastiaan r. bloem",top altmetric scores in parkinsons disease literature,journal of parkinsons disease,"altmetric, impact factor, parkinson's disease, social media"
318,"dos Reis, JE; Spinola, ATP; do Amaral, RM","dos Reis, Jose Eduardo; Pereira Spinola, Adriana Tahereh; do Amaral, Roniberto Morato",Incipiency of visualization of bibliometric and altmetric indicators in Brazilian Institutional Repositories,EM QUESTAO,Portuguese,Article,Visualization; Bibliometric and altmetric indicators; Institutional Repository; Scientific communication,2017,23,0,10.19132/1808-5245230.213-234,"je dos reis, atp spinola, rm do amaral","jose eduardo dos reis, adriana tahereh pereira spinola, roniberto morato do amaral",incipiency visualization bibliometric altmetric indicators in brazilian institutional repositories,em questao,"bibliometric and altmetric indicators, institutional repository, scientific communication, visualization"
319,"Borba, VD; Marinho, ACM; Caregnato, SE","Borba, Vildeane da Rocha; Melo Marinho, Andrea Carla; Caregnato, Sonia Elisa","Term analysis of ""Institutional Repository"" on Twitter: an altmetric study",EM QUESTAO,Portuguese,Article,Altmetrics; Alternative Metrics; Scientific Communication; Institutional Repository; Twitter,2017,23,0,10.19132/1808-5245230.290-308,"vd borba, acm marinho, se caregnato","vildeane da rocha borba, andrea carla melo marinho, sonia elisa caregnato",term analysis institutional repository on twitter an altmetric study,em questao,"alternative metrics, altmetrics, institutional repository, scientific communication, twitter"
320,"Jana, S","Jana, Sibsankar",Towards designing the Indicator for Scholarly Academic Research Impact based on h-index,QUALITATIVE & QUANTITATIVE METHODS IN LIBRARIES,English,Article,h-index; Scholarly Academic Research Impact (SARI); Tappered h-index; g-index; self-citation,2016,0,0,,s jana,sibsankar jana,towards designing indicator for scholarly academic research impact based on h index,qualitative quantitative methods in libraries,"g-index, h-index, scholarly academic research impact (sari), self-citation, tappered h-index"
