,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
267,dimensions,"colin s. black, daniel j. lehane, chris burns, brian d. o'donnell",an examination of the effect of open versus paywalled access publication on the disseminative impact and citation count of publications in intensive care medicine and anesthesia,An examination of the effect of open versus paywalled access publication on the disseminative impact and citation count of publications in intensive care medicine and anesthesia,journal of critical care,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.jcrc.2018.05.008
268,dimensions,"ehsan jozaghi, alissa m. greer, hugh lampkin, jane a. buxton",activism and scientific research 20 years of community action by the vancouver area network of drug users,Activism and scientific research: 20 years of community action by the Vancouver area network of drug users,substance abuse treatment prevention and policy,"17 psychology and cognitive sciences, 1701 psychology",2018,10.1186/s13011-018-0158-1
269,dimensions,"zohreh zahedi, rodrigo costas",general discussion of data quality challenges in social media metrics extensive comparison of four major altmetric data aggregators,General discussion of data quality challenges in social media metrics: Extensive comparison of four major altmetric data aggregators,plos one,"08 information and computing sciences, 0806 information systems",2018,10.1371/journal.pone.0197326
270,dimensions,"ehsan mohammadi, mike thelwall, mary kwasny, kristi l. holmes",academic information on twitter a user survey,Academic information on Twitter: A user survey,plos one,"16 studies in human society, 1608 sociology",2018,10.1371/journal.pone.0197265
271,dimensions,"vannarath te, nadia floden, sameera hussain, claire e. brolan, peter s. hill",what did the go4health policy research project contribute to the policy discourse on the sustainable development goals a reflexive review,What did the Go4Health policy research project contribute to the policy discourse on the sustainable development goals? A reflexive review,globalization and health,"11 medical and health sciences, 1117 public health and health services",2018,10.1186/s12992-018-0367-4
272,dimensions,"paul m o'byrne, j mark fitzgerald, eric d bateman, peter j barnes, nanshan zhong, christina keen, carin jorup, rosa lamarca, stefan ivanov, helen k reddel",inhaled combined budesonideformoterol as needed in mild asthma,Inhaled Combined Budesonide–Formoterol as Needed in Mild Asthma,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2018,10.1056/nejmoa1715274
273,dimensions,"sarah a. m. perryman, nathalie i. d. castells-brooke, margaret j. glendining, keith w. t. goulding, malcolm j. hawkesford, andy j. macdonald, richard j. ostler, paul r. poulton, christopher j. rawlings, tony scott, paul j. verrier",the electronic rothamsted archive e ra an online resource for data from the rothamsted long term experiments,"The electronic Rothamsted Archive (e-RA), an online resource for data from the Rothamsted long-term experiments",scientific data,"08 information and computing sciences, 0806 information systems",2018,10.1038/sdata.2018.72
274,dimensions,"paul s myles, rinaldo bellomo, tomas corcoran, andrew forbes, philip peyton, david story, chris christophi, kate leslie, shay mcguinness, rachael parke, jonathan serpell, matthew t v chan, thomas painter, stuart mccluskey, gary minto, sophie wallace",restrictive versus liberal fluid therapy for major abdominal surgery,Restrictive versus Liberal Fluid Therapy for Major Abdominal Surgery,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1056/nejmoa1801601
275,dimensions,"sora baek, dae young yoon, kyoung ja lim, young kwon cho, young lan seo, eun joo yun",the most downloaded and most cited articles in radiology journals a comparative bibliometric analysis,The most downloaded and most cited articles in radiology journals: a comparative bibliometric analysis,european radiology,"11 medical and health sciences, 1103 clinical sciences",2018,10.1007/s00330-018-5423-1
276,dimensions,"g. richtig, m. berger, b. lange-asschenfeldt, w. aberer, e. richtig",problems and challenges of predatory journals,Problems and challenges of predatory journals,journal of the european academy of dermatology and venereology,"11 medical and health sciences, 1103 clinical sciences",2018,10.1111/jdv.15039
277,dimensions,philip mirowski,the future s of open science,The future(s) of open science,social studies of science,"22 philosophy and religious studies, 2202 history and philosophy of specific fields",2018,10.1177/0306312718772086
278,dimensions,"andrew b. rosenkrantz, ryan chung, richard duszak",uncited research articles in popular united states general radiology journals,Uncited Research Articles in Popular United States General Radiology Journals,academic radiology,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.acra.2018.04.011
279,dimensions,"kate e webster, julian a feller",editorial commentary should we stop asking the question of whether arthroscopic knee surgery is worth it,Editorial Commentary: Should We Stop Asking the Question of Whether Arthroscopic Knee Surgery Is Worth It?,arthroscopy the journal of arthroscopic and related surgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.arthro.2018.02.021
280,dimensions,"sonja utz, nicole l. muscanell",your co author received 150 citations pride but not envy mediates the effect of system generated achievement messages on motivation,"Your Co-author Received 150 Citations: Pride, but Not Envy, Mediates the Effect of System-Generated Achievement Messages on Motivation",frontiers in psychology,"17 psychology and cognitive sciences, 1701 psychology",2018,10.3389/fpsyg.2018.00628
281,dimensions,"jinhui li, mojisola erdt, luxi chen, yuanyuan cao, shan-qi lee, yin-leng theng",the social effects of exergames on older adults systematic review and metric analysis,The Social Effects of Exergames on Older Adults: Systematic Review and Metric Analysis.,journal of medical internet research,"11 medical and health sciences, 1117 public health and health services",2018,10.2196/10486
282,dimensions,"sean s. barnes, viren kaul, sapna r. kudchadkar",social media engagement and the critical care medicine community,Social Media Engagement and the Critical Care Medicine Community,journal of intensive care medicine,"11 medical and health sciences, 1103 clinical sciences, 1110 nursing",2019,10.1177/0885066618769599
283,dimensions,"mario gaudino, umberto benedetto, stephen fremes, giuseppe biondi-zoccai, art sedrakyan, john d puskas, gianni d angelini, brian buxton, giacomo frati, david l hare, philip hayward, giuseppe nasso, neil moat, miodrag peric, kyung j yoo, giuseppe speziale, leonard n girardi, david p taggart",radial artery or saphenous vein grafts in coronary artery bypass surgery,Radial-Artery or Saphenous-Vein Grafts in Coronary-Artery Bypass Surgery,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2018,10.1056/nejmoa1716026
284,dimensions,"n. fernandez, a. puerto, a. azuero, f. o'kelly, j. hannick, m. rickard, a. kirsch, a. caldamone, m. koyle",historical bibliometric analysis of the top cited articles on vesicoureteral reflux 19502016 and incorporation of an impact index,"Historical bibliometric analysis of the top cited articles on vesicoureteral reflux 1950–2016, and incorporation of an impact index",journal of pediatric urology,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.jpurol.2018.04.004
285,dimensions,"armen yuri gasparyan, marlen yessirkepov, akmaral duisenova, vladimir i. trukhachev, elena i. kostyukova, george d. kitas",researcher and author impact metrics variety value and context,"Researcher and Author Impact Metrics: Variety, Value, and Context",journal of korean medical science,"08 information and computing sciences, 0806 information systems",2018,10.3346/jkms.2018.33.e139
286,dimensions,"lutz bornmann, robin haunschild",measuring individual performance with comprehensive bibliometric reports as an alternative to h index values,Measuring Individual Performance with Comprehensive Bibliometric Reports as an Alternative to h-Index Values,journal of korean medical science,"17 psychology and cognitive sciences, 1701 psychology",2018,10.3346/jkms.2018.33.e138
287,dimensions,"molly e. waring, danielle e. jake-schoffman, marta m. holovatska, claudia mejia, jamasia c. williams, sherry l. pagoto",social media and obesity in adults a review of recent research and future directions,Social Media and Obesity in Adults: a Review of Recent Research and Future Directions,current diabetes reports,"11 medical and health sciences, 1117 public health and health services",2018,10.1007/s11892-018-1001-9
288,dimensions,"david a lipson, frank barnhart, noushin brealey, jean brooks, gerard j criner, nicola c day, mark t dransfield, david m g halpin, meilan k han, c elaine jones, sally kilbride, peter lange, david a lomas, fernando j martinez, dave singh, maggie tabberer, robert a wise, steven j pascoe",once daily single inhaler triple versus dual therapy in patients with copd,Once-Daily Single-Inhaler Triple versus Dual Therapy in Patients with COPD,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1056/nejmoa1713901
289,dimensions,"alexis a thompson, mark c walters, janet kwiatkowski, john e j rasko, jean-antoine ribeil, suradej hongeng, elisa magrin, gary j schiller, emmanuel payen, michaela semeraro, despina moshous, francois lefrere, herve puy, philippe bourget, alessandra magnani, laure caccavelli, jean-sebastien diana, felipe suarez, fabrice monpoux, valentine brousse, catherine poirot, chantal brouzes, jean-francois meritet, corinne pondarre, yves beuzard, stany chretien, thibaud lefebvre, david t teachey, usanarat anurathapan, p joy ho, christof von kalle, morris kletzel, elliott vichinsky, sandeep soni, gabor veres, olivier negre, robert w ross, david davidson, alexandria petrusich, laura sandler, mohammed asmal, olivier hermine, mariane de montalembert, salima hacein-bey-abina, stephane blanche, philippe leboulch, marina cavazzana",gene therapy in patients with transfusion dependent thalassemia,Gene Therapy in Patients with Transfusion-Dependent β-Thalassemia,new england journal of medicine,11 medical and health sciences,2018,10.1056/nejmoa1705342
290,dimensions,"jacob j. bundy, anthony n. hage, jeffrey forris beecham chick, rajiv n. srinivasa, nishant patel, evan johnson, joseph j. gemmete, ravi n. srinivasa",radiology a 7 year analysis of radiology associated hashtags,#Radiology: A 7-year Analysis of Radiology-Associated Hashtags,current problems in diagnostic radiology,"11 medical and health sciences, 1117 public health and health services",2018,10.1067/j.cpradiol.2018.04.005
291,dimensions,"amanda costa araujo, dafne port nascimento, gabrielle zoldan gonzalez, christopher g maher, leonardo oliveira pena costa",impact of low back pain clinical trials measured by the altmetric score cross sectional study,Impact of Low Back Pain Clinical Trials Measured by the Altmetric Score: Cross-Sectional Study.,journal of medical internet research,"11 medical and health sciences, 1103 clinical sciences",2018,10.2196/jmir.9368
292,dimensions,"clayton t. lamb, sophie l. gilbert, adam t. ford",tweet success scientific communication correlates with increased citations in ecology and conservation,Tweet success? Scientific communication correlates with increased citations in Ecology and Conservation,peerj,"17 psychology and cognitive sciences, 1701 psychology",2018,10.7717/peerj.4564
293,dimensions,"stacy loeb, matthew s. katz, aisha langford, nataliya byrne, shannon ciprut",prostate cancer and social media,Prostate cancer and social media,nature reviews urology,"11 medical and health sciences, 1112 oncology and carcinogenesis, 1117 public health and health services",2018,10.1038/s41585-018-0006-0
294,dimensions,hania szajewska,evidence based medicine and clinical research both are needed neither is perfect,"Evidence-Based Medicine and Clinical Research: Both Are Needed, Neither Is Perfect",annals of nutrition and metabolism,"11 medical and health sciences, 1117 public health and health services",2018,10.1159/000487375
295,dimensions,"wenya huang, peiling wang, qiang wu",a correlation comparison between altmetric attention scores and citations for six plos journals,A correlation comparison between Altmetric Attention Scores and citations for six PLOS journals,plos one,"08 information and computing sciences, 0806 information systems",2018,10.1371/journal.pone.0194962
296,dimensions,"juan pablo alperin, charles j gomez, stefanie haustein",identifying diffusion patterns of research articles on twitter a case study of online engagement with open access articles,Identifying diffusion patterns of research articles on Twitter: A case study of online engagement with open access articles,public understanding of science,"13 education, 1302 curriculum and pedagogy, 19 studies in creative arts and writing, 1903 journalism and professional writing, 22 philosophy and religious studies, 2202 history and philosophy of specific fields",2019,10.1177/0963662518761733
297,dimensions,"heather j. logghe, luke v. selby, marissa a. boeck, nikki l. stamp, jason chuen, christian jones",the academic tweet twitter as a tool to advance academic surgery,The academic tweet: Twitter as a tool to advance academic surgery,journal of surgical research,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.jss.2018.03.049
298,dimensions,"xiaomei bai, fuli zhang, jie hou, ivan lee, xiangjie kong, amr tolba, feng xia",quantifying the impact of scholarly papers based on higher order weighted citations,Quantifying the impact of scholarly papers based on higher-order weighted citations,plos one,"14 economics, 1402 applied economics",2018,10.1371/journal.pone.0193192
299,dimensions,"rachel borchardt, cullen moran, stuart cantrill, chemjobber, see arr oh, matthew r. hartings",perception of the importance of chemistry research papers and comparison to citation rates,Perception of the importance of chemistry research papers and comparison to citation rates,plos one,"11 medical and health sciences, 1117 public health and health services",2018,10.1371/journal.pone.0194903
300,dimensions,"pavel grasgruber, jan cacek, eduard hrazdira, sylva hrebickova, martin sebera",global correlates of cardiovascular risk a comparison of 158 countries,Global Correlates of Cardiovascular Risk: A Comparison of 158 Countries,nutrients,"11 medical and health sciences, 1117 public health and health services",2018,10.3390/nu10040411
302,dimensions,"shona mackinnon, bogna a drozdowska, michael hamilton, anna h noel-storr, rupert mcshane, terry quinn",are methodological quality and completeness of reporting associated with citation based measures of publication impact a secondary analysis of a systematic review of dementia biomarker studies,Are methodological quality and completeness of reporting associated with citation-based measures of publication impact? A secondary analysis of a systematic review of dementia biomarker studies,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2018,10.1136/bmjopen-2017-020331
303,dimensions,"robert j motzer, nizar m tannir, david f mcdermott, osvaldo aren frontera, bohuslav melichar, toni k choueiri, elizabeth r plimack, philippe barthelemy, camillo porta, saby george, thomas powles, frede donskov, victoria neiman, christian k kollmannsberger, pamela salman, howard gurney, robert hawkins, alain ravaud, marc-oliver grimm, sergio bracarda, carlos h barrios, yoshihiko tomita, daniel castellano, brian i rini, allen c chen, sabeen mekan, m brent mchenry, megan wind-rotolo, justin doan, padmanee sharma, hans j hammers, bernard escudier",nivolumab plus ipilimumab versus sunitinib in advanced renal cell carcinoma,Nivolumab plus Ipilimumab versus Sunitinib in Advanced Renal-Cell Carcinoma,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1056/nejmoa1712126
304,dimensions,"il ju choi, myeong-cherl kook, young-il kim, soo-jeong cho, jong yeul lee, chan gyoo kim, boram park, byung-ho nam",helicobacter pylori therapy for the prevention of metachronous gastric cancer,Helicobacter pylori Therapy for the Prevention of Metachronous Gastric Cancer,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1112 oncology and carcinogenesis",2018,10.1056/nejmoa1708423
305,dimensions,"alison d. kissling, kimberly d. ballinger",implementation of a research information management system in a pediatric hospital,Implementation of a Research Information Management System in a Pediatric Hospital,medical reference services quarterly,"08 information and computing sciences, 0807 library and information studies",2018,10.1080/02763869.2018.1439224
306,dimensions,"alison callahan, rainer winnenburg, nigam h shah",u index a dataset and an impact metric for informatics tools and databases,"U-Index, a dataset and an impact metric for informatics tools and databases",scientific data,"08 information and computing sciences, 0806 information systems",2018,10.1038/sdata.2018.43
307,dimensions,"arfon g. m. t. powell, victoria bevan, chris brown, wyn g. lewis",altmetric versus bibliometric perspective regarding publication impact and force,Altmetric Versus Bibliometric Perspective Regarding Publication Impact and Force,world journal of surgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1007/s00268-018-4579-9
308,dimensions,"andreas jerrentrup, tobias mueller, ulrich glowalla, meike herder, nadine henrichs, andreas neubauer, juergen r. schaefer",teaching medicine with the help of dr house,Teaching medicine with the help of “Dr. House”,plos one,"13 education, 1303 specialist studies in education",2018,10.1371/journal.pone.0193972
309,dimensions,jose luis ortega,disciplinary differences of the impact of altmetric,Disciplinary differences of the impact of altmetric.,fems microbiology letters,"06 biological sciences, 07 agricultural and veterinary sciences, 11 medical and health sciences",2018,10.1093/femsle/fny049
310,dimensions,"gonzague jourdain, nicole ngo-giang-huong, linda harrison, luc decker, woottichai khamduang, camlin tierney, nicolas salvadori, tim r cressey, wasna sirirungsi, jullapong achalapong, prapap yuthavisuthi, prateep kanjanavikai, orada p na ayudhaya, thitiporn siriwachirachai, sinart prommas, prapan sabsanong, aram limtrakul, supang varadisai, chaiwat putiyanun, pornnapa suriyachai, prateung liampongsabuddhi, suraphan sangsawang, wanmanee matanasarawut, sudanee buranabanjasatean, pichit puernngooluerm, chureeratana bowonwatanuwong, thanyawee puthanakit, virat klinbuayaem, satawat thongsawat, sombat thanprasertsuk, george k siberry, diane h watts, nahida chakhtoura, trudy v murphy, noele p nelson, raymond t chung, stanislas pol, nantasak chotivanich",tenofovir versus placebo to prevent perinatal transmission of hepatitis b,Tenofovir versus Placebo to Prevent Perinatal Transmission of Hepatitis B,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine, 1117 public health and health services",2018,10.1056/nejmoa1708131
311,dimensions,miranda olff,psychotraumatology on the move,Psychotraumatology on the move,european journal of psychotraumatology,"08 information and computing sciences, 0806 information systems",2018,10.1080/20008198.2018.1439650
312,dimensions,"devlin v smith, laura b stokes, kayleigh marx, samuel l aitken",navigating manuscript assessment the new practitioners guide to primary literature peer review,Navigating manuscript assessment: The new practitioner’s guide to primary literature peer review,journal of oncology pharmacy practice,"11 medical and health sciences, 1115 pharmacology and pharmaceutical sciences",2019,10.1177/1078155218761222
313,dimensions,sarah cuschieri,wasp is open access publishing the way forward a review of the different ways in which research papers can be published,WASP: Is open access publishing the way forward? A review of the different ways in which research papers can be published,early human development,"11 medical and health sciences, 1103 clinical sciences, 17 psychology and cognitive sciences, 1702 cognitive sciences",2018,10.1016/j.earlhumdev.2018.02.017
314,dimensions,"qing zhao ruan, austin d. chen, justin b. cohen, dhruv singhal, samuel j. lin, bernard t. lee",alternative metrics of scholarly output,Alternative Metrics of Scholarly Output,plastic reconstructive surgery,"11 medical and health sciences, 1103 clinical sciences",2018,10.1097/prs.0000000000004128
315,dimensions,"denis torre, patrycja krawczuk, kathleen m. jagodnik, alexander lachmann, zichen wang, lily wang, maxim v. kuleshov, avi ma'ayan",datasets2tools repository and search engine for bioinformatics datasets tools and canned analyses,"Datasets2Tools, repository and search engine for bioinformatics datasets, tools and canned analyses",scientific data,"08 information and computing sciences, 0801 artificial intelligence and image processing, 0806 information systems",2018,10.1038/sdata.2018.23
316,dimensions,"louise bezuidenhout, ereck chakauya",hidden concerns of sharing research data by low middle income country scientists,Hidden concerns of sharing research data by low/middle-income country scientists,global bioethics,"16 studies in human society, 1605 policy and administration",2018,10.1080/11287462.2018.1441780
317,dimensions,"besiki stvilia, shuheng wu, dong joon lee",researchers participation in and motivations for engaging with research information management systems,Researchers’ participation in and motivations for engaging with research information management systems,plos one,"17 psychology and cognitive sciences, 1701 psychology",2018,10.1371/journal.pone.0193459
318,dimensions,"annamaria carusi, mark r. davies, giovanni de grandis, beate i. escher, geoff hodges, kenneth m.y. leung, maurice whelan, catherine willett, gerald t. ankley",harvesting the promise of aops an assessment and recommendations,Harvesting the promise of AOPs: An assessment and recommendations,the science of the total environment,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.scitotenv.2018.02.015
319,dimensions,"david r anderson, michael dunbar, john murnaghan, susan r kahn, peter gross, michael forsythe, stephane pelet, william fisher, etienne belzile, sean dolan, mark crowther, eric bohm, steven j macdonald, wade gofton, paul kim, david zukor, susan pleasance, pantelis andreou, steve doucette, chris theriault, abongnwen abianui, marc carrier, michael j kovacs, marc a rodger, doug coyle, philip s wells, pascal-andre vendittoli",aspirin or rivaroxaban for vte prophylaxis after hip or knee arthroplasty,Aspirin or Rivaroxaban for VTE Prophylaxis after Hip or Knee Arthroplasty,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1056/nejmoa1712746
320,dimensions,"gates b. colbert, joel topf, kenar d. jhaveri, tom oates, michelle n. rheault, silvi shah, swapnil hiremath, matthew a. sparks",the social media revolution in nephrology education,The Social Media Revolution in Nephrology Education,kidney international reports,"08 information and computing sciences, 0806 information systems, 13 education, 1303 specialist studies in education",2018,10.1016/j.ekir.2018.02.003
322,dimensions,"fatemeh ramezani-pakpour-langeroudi, maryam okhovati, ali talebian",do highly cited clinicians get more citations when being present at social networking sites,Do highly cited clinicians get more citations when being present at social networking sites?,journal of education and health promotion,"11 medical and health sciences, 1103 clinical sciences",2018,10.4103/jehp.jehp_69_17
323,dimensions,"murray a raskind, elaine r peskind, bruce chow, crystal harris, anne davis-karim, hollie a holmes, kimberly l hart, miles mcfall, thomas a mellman, christopher reist, jennifer romesser, robert rosenheck, mei-chiung shih, murray b stein, robert swift, theresa gleason, ying lu, grant d huang",trial of prazosin for post traumatic stress disorder in military veterans,Trial of Prazosin for Post-Traumatic Stress Disorder in Military Veterans,new england journal of medicine,"11 medical and health sciences, 1117 public health and health services",2018,10.1056/nejmoa1507598
324,dimensions,"pauline zardo, adrian g. barnett, nicolas suzor, tim cahill",does engagement predict research use an analysis of the conversation annual survey 2016,Does engagement predict research use? An analysis of The Conversation Annual Survey 2016,plos one,"11 medical and health sciences, 1117 public health and health services",2018,10.1371/journal.pone.0192290
325,dimensions,"kathryn bennett, stephanie duda, melissa brouwers, peter szatmari, amanda newton, john mclennan, purnima sundar, kristin cleverley, alice charach, joanna henderson, darren courtney, maureen rice",towards high quality useful practice guidelines for child and youth mental health disorders protocol for a systematic review and consensus exercise,"Towards high-quality, useful practice guidelines for child and youth mental health disorders: protocol for a systematic review and consensus exercise",bmj open,"11 medical and health sciences, 1117 public health and health services",2018,10.1136/bmjopen-2017-018053
326,dimensions,sarah cuschieri,wasp write a scientific paper understanding research metrics,WASP (Write a Scientific Paper): Understanding research metrics,early human development,"11 medical and health sciences, 1103 clinical sciences, 17 psychology and cognitive sciences, 1702 cognitive sciences",2018,10.1016/j.earlhumdev.2018.01.015
327,dimensions,laura dormer,introducing volume 8 of neurodegenerative disease management,Introducing volume 8 of Neurodegenerative Disease Management,neurodegenerative disease management,"06 biological sciences, 0601 biochemistry and cell biology",2018,10.2217/nmt-2017-0062
328,dimensions,"douglas franzen, robert cooney, teresa chan, michael brown, deborah b. diercks",scholarship by the clinicianeducator in emergency medicine,Scholarship by the Clinician‐Educator in Emergency Medicine,aem education and training,"13 education, 1302 curriculum and pedagogy",2018,10.1002/aet2.10084
329,dimensions,"anthony n. hage, jeffrey forris beecham chick, brian jeffers, rajiv n. srinivasa, joseph j. gemmete, ravi n. srinivasa",interventionalradiology,#InterventionalRadiology,journal of vascular and interventional radiology,"11 medical and health sciences, 1103 clinical sciences",2018,10.1016/j.jvir.2017.12.023
330,dimensions,"stevan bruijns, camillo lamanna",the case for a regional approach to publication impact,The case for a regional approach to publication impact,ecancermedicalscience,"14 economics, 1402 applied economics",2018,10.3332/ecancer.2018.ed78
331,dimensions,"juan ruano, macarena aguilar-luque, francisco gomez-garcia, patricia alcalde mellado, jesus gay-mimbrera, pedro j. carmona-fernandez, beatriz maestre-lopez, juan luis sanz-cabanillas, jose luis hernandez romero, marcelino gonzalez-padilla, antonio velez garcia-nieto, beatriz isla-tejera",the differential impact of scientific quality bibliometric factors and social media activity on the influence of systematic reviews and meta analyses about psoriasis,"The differential impact of scientific quality, bibliometric factors, and social media activity on the influence of systematic reviews and meta-analyses about psoriasis",plos one,"11 medical and health sciences, 1117 public health and health services",2018,10.1371/journal.pone.0191124
332,dimensions,"sagar s. patel, navneet s. majhail",twitter use in the hematopoietic cell transplantation community,Twitter Use in the Hematopoietic Cell Transplantation Community,current hematologic malignancy reports,"08 information and computing sciences, 0806 information systems",2018,10.1007/s11899-018-0434-1
333,dimensions,"lawrence s honig, bruno vellas, michael woodward, merce boada, roger bullock, michael borrie, klaus hager, niels andreasen, elio scarpini, hong liu-seifert, michael case, robert a dean, ann hake, karen sundell, vicki poole hoffmann, christopher carlson, rashna khanna, mark mintun, ronald demattos, katherine j selzler, eric siemers",trial of solanezumab for mild dementia due to alzheimers disease,Trial of Solanezumab for Mild Dementia Due to Alzheimer’s Disease,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1109 neurosciences",2018,10.1056/nejmoa1705971
334,dimensions,"petr holub, florian kohlmayer, fabian prasser, michaela th. mayrhofer, irene schlunder, gillian m. martin, sara casati, lefteris koumakis, andrea wutte, lukasz kozera, dominik strapagiel, gabriele anton, gianluigi zanetti, osman ugur sezerman, maimuna mendy, dalibor valik, marialuisa lavitrano, georges dagher, kurt zatloukal, gertjan b. van ommen, jan-eric litton",enhancing reuse of data and biological material in medical research from fair to fair health,Enhancing Reuse of Data and Biological Material in Medical Research: From FAIR to FAIR-Health,biopreservation and biobanking,"06 biological sciences, 0601 biochemistry and cell biology, 10 technology, 1004 medical biotechnology",2018,10.1089/bio.2017.0110
335,dimensions,dilip v jeste,international psychogeriatrics turns a new page new editor begins his term,International Psychogeriatrics turns a new page: new editor begins his term,international psychogeriatrics,"11 medical and health sciences, 17 psychology and cognitive sciences",2018,10.1017/s1041610217002915
336,dimensions,"akhil narang, poonam velagapudi, bharath rajagopalan, bryan lebude, aaron p. kithcart, david snipelisky, shashank s. sinha",a new educational framework toimprovelifelong learning forcardiologists,A New Educational Framework to Improve Lifelong Learning for Cardiologists,journal of the american college of cardiology,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1117 public health and health services",2018,10.1016/j.jacc.2017.11.045
337,dimensions,"weichun yang, ziyi shen, sixian wen, wei wang, minyu hu",mechanisms of multiple neurotransmitters in the effects of lycopene on brain injury induced by hyperlipidemia,Mechanisms of multiple neurotransmitters in the effects of Lycopene on brain injury induced by Hyperlipidemia,lipids in health and disease,"11 medical and health sciences, 1109 neurosciences",2018,10.1186/s12944-018-0660-5
338,dimensions,"karen elizabeth gutzman, michael e. bales, christopher w. belter, thane chambers, liza chan, kristi l. holmes, ya-ling lu, lisa a. palmer, rebecca c. reznik-zellen, cathy c. sarli, amy m. suiter, terrie r. wheeler",research evaluation support services in biomedical libraries,Research evaluation support services in biomedical libraries,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2018,10.5195/jmla.2018.205
339,dimensions,"lan n. vuong, vinh q. dang, tuong m. ho, bao g. huynh, duc t. ha, toan d. pham, linh k. nguyen, robert j. norman, ben w. mol",ivf transfer of fresh or frozen embryos in women without polycystic ovaries,IVF Transfer of Fresh or Frozen Embryos in Women without Polycystic Ovaries,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine",2018,10.1056/nejmoa1703768
340,dimensions,laura dormer,introducing volume 7 of the journal of comparative effectiveness research,Introducing Volume 7 of the Journal of Comparative Effectiveness Research,journal of comparative effectiveness research,"18 law and legal studies, 1801 law",2018,10.2217/cer-2017-0087
341,dimensions,"germana barata, kenneth shores, juan pablo alperin",local chatter or international buzz language differences on posts about zika research on twitter and facebook,Local chatter or international buzz? Language differences on posts about Zika research on Twitter and Facebook,plos one,"20 language, communication and culture, 2004 linguistics",2018,10.1371/journal.pone.0190482
342,dimensions,"antonia quinn, teresa m chan, christopher sampson, catherine grossman, christine butts, john casey, holly caretta-weyer, michael gottlieb",curated collections for educators five key papers on evaluating digital scholarship,Curated Collections for Educators: Five Key Papers on Evaluating Digital Scholarship,cureus,"13 education, 1303 specialist studies in education",2018,10.7759/cureus.2021
343,dimensions,steve w. j. kozlowski,enhancing the effectiveness of work groups and teams a reflection,Enhancing the Effectiveness of Work Groups and Teams: A Reflection,perspectives on psychological science,"17 psychology and cognitive sciences, 1701 psychology",2018,10.1177/1745691617697078
344,dimensions,"kai li, jason rollins, erjia yan",web of science use in published research and review papers 19972017 a selective dynamic cross domain content based analysis,"Web of Science use in published research and review papers 1997–2017: a selective, dynamic, cross-domain, content-based analysis",scientometrics,"08 information and computing sciences, 0807 library and information studies, 16 studies in human society, 1605 policy and administration",2018,10.1007/s11192-017-2622-5
345,dimensions,"andreas triantafyllidis, dimitris filos, jomme claes, roselien buys, veronique cornelissen, evangelia kouidi, ioanna chouvarda, nicos maglaveras",computerised decision support in physical activity interventions a systematic literature review,Computerised decision support in physical activity interventions: A systematic literature review,international journal of medical informatics,"08 information and computing sciences, 0806 information systems, 11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.ijmedinf.2017.12.012
346,dimensions,"william n. niehaus, julie k. silver, matthew s. katz",the pm r journal implements a social media strategy to disseminate research and track alternative metrics in physical medicine and rehabilitation,The PM&R Journal Implements a Social Media Strategy to Disseminate Research and Track Alternative Metrics in Physical Medicine and Rehabilitation,pm r,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.pmrj.2017.12.003
347,dimensions,hannah makin,welcome to volume 9 of therapeutic delivery,Welcome to volume 9 of Therapeutic Delivery,therapeutic delivery,"11 medical and health sciences, 1199 other medical and health sciences",2018,10.4155/tde-2017-5000
348,dimensions,"eric a. fong, allen w. wilhite",authorship and citation manipulation in academic research,Authorship and citation manipulation in academic research,plos one,"20 language, communication and culture, 2002 cultural studies",2017,10.1371/journal.pone.0187394
