,doi,title,journal,year,vol,issue,document_type,authors,url,keywords,authors_l,title_l,journal_l,keywords_l
302,10.1136/bmjopen-2017-020331,Are methodological quality and completeness of reporting associated with citation-based measures of publication impact? A secondary analysis of a systematic review of dementia biomarker studies,BMJ Open,2018,8,3,Article,"Mackinnon, Shona; Drozdowska, Bogna A; Hamilton, Michael; Noel-Storr, Anna H; McShane, Rupert; Quinn, Terry",https://app.dimensions.ai/details/publication/pub.1101696274,1103 Clinical Sciences; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 1199 Other Medical and Health Sciences,"shona mackinnon, bogna a drozdowska, michael hamilton, anna h noel-storr, rupert mcshane, terry quinn",are methodological quality and completeness of reporting associated with citation based measures of publication impact a secondary analysis of a systematic review of dementia biomarker studies,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences"
303,10.1056/nejmoa1712126,Nivolumab plus Ipilimumab versus Sunitinib in Advanced Renal-Cell Carcinoma,New England Journal of Medicine,2018,378,14,Article,"Motzer, Robert J; Tannir, Nizar M; McDermott, David F; Arén Frontera, Osvaldo; Melichar, Bohuslav; Choueiri, Toni K; Plimack, Elizabeth R; Barthélémy, Philippe; Porta, Camillo; George, Saby; Powles, Thomas; Donskov, Frede; Neiman, Victoria; Kollmannsberger, Christian K; Salman, Pamela; Gurney, Howard; Hawkins, Robert; Ravaud, Alain; Grimm, Marc-Oliver; Bracarda, Sergio; Barrios, Carlos H; Tomita, Yoshihiko; Castellano, Daniel; Rini, Brian I; Chen, Allen C; Mekan, Sabeen; McHenry, M Brent; Wind-Rotolo, Megan; Doan, Justin; Sharma, Padmanee; Hammers, Hans J; Escudier, Bernard",https://app.dimensions.ai/details/publication/pub.1101673751,11 Medical and Health Sciences; 1103 Clinical Sciences,"robert j motzer, nizar m tannir, david f mcdermott, osvaldo aren frontera, bohuslav melichar, toni k choueiri, elizabeth r plimack, philippe barthelemy, camillo porta, saby george, thomas powles, frede donskov, victoria neiman, christian k kollmannsberger, pamela salman, howard gurney, robert hawkins, alain ravaud, marc-oliver grimm, sergio bracarda, carlos h barrios, yoshihiko tomita, daniel castellano, brian i rini, allen c chen, sabeen mekan, m brent mchenry, megan wind-rotolo, justin doan, padmanee sharma, hans j hammers, bernard escudier",nivolumab plus ipilimumab versus sunitinib in advanced renal cell carcinoma,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences"
304,10.1056/nejmoa1708423,Helicobacter pylori Therapy for the Prevention of Metachronous Gastric Cancer,New England Journal of Medicine,2018,378,12,Article,"Choi, Il Ju; Kook, Myeong-Cherl; Kim, Young-Il; Cho, Soo-Jeong; Lee, Jong Yeul; Kim, Chan Gyoo; Park, Boram; Nam, Byung-Ho",https://app.dimensions.ai/details/publication/pub.1101673693,11 Medical and Health Sciences; 1103 Clinical Sciences; 1112 Oncology and Carcinogenesis,"il ju choi, myeong-cherl kook, young-il kim, soo-jeong cho, jong yeul lee, chan gyoo kim, boram park, byung-ho nam",helicobacter pylori therapy for the prevention of metachronous gastric cancer,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1112 oncology and carcinogenesis"
305,10.1080/02763869.2018.1439224,Implementation of a Research Information Management System in a Pediatric Hospital,Medical Reference Services Quarterly,2018,37,2,Article,"Kissling, Alison D.; Ballinger, Kimberly D.",https://app.dimensions.ai/details/publication/pub.1101637719,08 Information and Computing Sciences; 0807 Library and Information Studies,"alison d. kissling, kimberly d. ballinger",implementation of a research information management system in a pediatric hospital,medical reference services quarterly,"08 information and computing sciences, 0807 library and information studies"
306,10.1038/sdata.2018.43,"U-Index, a dataset and an impact metric for informatics tools and databases",Scientific Data,2018,5,1,Article,"Callahan, Alison; Winnenburg, Rainer; Shah, Nigam H",https://app.dimensions.ai/details/publication/pub.1101624774,08 Information and Computing Sciences; 0806 Information Systems,"alison callahan, rainer winnenburg, nigam h shah",u index a dataset and an impact metric for informatics tools and databases,scientific data,"08 information and computing sciences, 0806 information systems"
307,10.1007/s00268-018-4579-9,Altmetric Versus Bibliometric Perspective Regarding Publication Impact and Force,World Journal of Surgery,2018,42,9,Article,"Powell, Arfon G. M. T.; Bevan, Victoria; Brown, Chris; Lewis, Wyn G.",https://app.dimensions.ai/details/publication/pub.1101528109,11 Medical and Health Sciences; 1103 Clinical Sciences,"arfon g. m. t. powell, victoria bevan, chris brown, wyn g. lewis",altmetric versus bibliometric perspective regarding publication impact and force,world journal of surgery,"11 medical and health sciences, 1103 clinical sciences"
308,10.1371/journal.pone.0193972,Teaching medicine with the help of “Dr. House”,PLoS ONE,2018,13,3,Article,"Jerrentrup, Andreas; Mueller, Tobias; Glowalla, Ulrich; Herder, Meike; Henrichs, Nadine; Neubauer, Andreas; Schaefer, Juergen R.",https://app.dimensions.ai/details/publication/pub.1101520606,1303 Specialist Studies In Education; 13 Education,"andreas jerrentrup, tobias mueller, ulrich glowalla, meike herder, nadine henrichs, andreas neubauer, juergen r. schaefer",teaching medicine with the help of dr house,plos one,"13 education, 1303 specialist studies in education"
309,10.1093/femsle/fny049,Disciplinary differences of the impact of altmetric.,FEMS Microbiology Letters,2018,365,7,Article,"Ortega, José Luis",https://app.dimensions.ai/details/publication/pub.1101411880,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,jose luis ortega,disciplinary differences of the impact of altmetric,fems microbiology letters,"06 biological sciences, 07 agricultural and veterinary sciences, 11 medical and health sciences"
310,10.1056/nejmoa1708131,Tenofovir versus Placebo to Prevent Perinatal Transmission of Hepatitis B,New England Journal of Medicine,2018,378,10,Article,"Jourdain, Gonzague; Ngo-Giang-Huong, Nicole; Harrison, Linda; Decker, Luc; Khamduang, Woottichai; Tierney, Camlin; Salvadori, Nicolas; Cressey, Tim R; Sirirungsi, Wasna; Achalapong, Jullapong; Yuthavisuthi, Prapap; Kanjanavikai, Prateep; Na Ayudhaya, Orada P; Siriwachirachai, Thitiporn; Prommas, Sinart; Sabsanong, Prapan; Limtrakul, Aram; Varadisai, Supang; Putiyanun, Chaiwat; Suriyachai, Pornnapa; Liampongsabuddhi, Prateung; Sangsawang, Suraphan; Matanasarawut, Wanmanee; Buranabanjasatean, Sudanee; Puernngooluerm, Pichit; Bowonwatanuwong, Chureeratana; Puthanakit, Thanyawee; Klinbuayaem, Virat; Thongsawat, Satawat; Thanprasertsuk, Sombat; Siberry, George K; Watts, Diane H; Chakhtoura, Nahida; Murphy, Trudy V; Nelson, Noele P; Chung, Raymond T; Pol, Stanislas; Chotivanich, Nantasak",https://app.dimensions.ai/details/publication/pub.1101371862,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,"gonzague jourdain, nicole ngo-giang-huong, linda harrison, luc decker, woottichai khamduang, camlin tierney, nicolas salvadori, tim r cressey, wasna sirirungsi, jullapong achalapong, prapap yuthavisuthi, prateep kanjanavikai, orada p na ayudhaya, thitiporn siriwachirachai, sinart prommas, prapan sabsanong, aram limtrakul, supang varadisai, chaiwat putiyanun, pornnapa suriyachai, prateung liampongsabuddhi, suraphan sangsawang, wanmanee matanasarawut, sudanee buranabanjasatean, pichit puernngooluerm, chureeratana bowonwatanuwong, thanyawee puthanakit, virat klinbuayaem, satawat thongsawat, sombat thanprasertsuk, george k siberry, diane h watts, nahida chakhtoura, trudy v murphy, noele p nelson, raymond t chung, stanislas pol, nantasak chotivanich",tenofovir versus placebo to prevent perinatal transmission of hepatitis b,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine, 1117 public health and health services"
311,10.1080/20008198.2018.1439650,Psychotraumatology on the move,European Journal of Psychotraumatology,2018,9,1,Article,"Olff, Miranda",https://app.dimensions.ai/details/publication/pub.1101355026,08 Information and Computing Sciences; 0806 Information Systems,miranda olff,psychotraumatology on the move,european journal of psychotraumatology,"08 information and computing sciences, 0806 information systems"
312,10.1177/1078155218761222,Navigating manuscript assessment: The new practitioner’s guide to primary literature peer review,Journal of Oncology Pharmacy Practice,2019,25,1,Article,"Smith, Devlin V; Stokes, Laura B; Marx, Kayleigh; Aitken, Samuel L",https://app.dimensions.ai/details/publication/pub.1101317771,11 Medical and Health Sciences; 1115 Pharmacology and Pharmaceutical Sciences,"devlin v smith, laura b stokes, kayleigh marx, samuel l aitken",navigating manuscript assessment the new practitioners guide to primary literature peer review,journal of oncology pharmacy practice,"11 medical and health sciences, 1115 pharmacology and pharmaceutical sciences"
313,10.1016/j.earlhumdev.2018.02.017,WASP: Is open access publishing the way forward? A review of the different ways in which research papers can be published,Early Human Development,2018,121,PNAS 102 46 2005,Article,"Cuschieri, Sarah",https://app.dimensions.ai/details/publication/pub.1101261705,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 1702 Cognitive Sciences; 1103 Clinical Sciences,sarah cuschieri,wasp is open access publishing the way forward a review of the different ways in which research papers can be published,early human development,"11 medical and health sciences, 1103 clinical sciences, 17 psychology and cognitive sciences, 1702 cognitive sciences"
314,10.1097/prs.0000000000004128,Alternative Metrics of Scholarly Output,Plastic & Reconstructive Surgery,2018,141,3,Article,"Ruan, Qing Zhao; Chen, Austin D.; Cohen, Justin B.; Singhal, Dhruv; Lin, Samuel J.; Lee, Bernard T.",https://app.dimensions.ai/details/publication/pub.1101240377,11 Medical and Health Sciences; 1103 Clinical Sciences,"qing zhao ruan, austin d. chen, justin b. cohen, dhruv singhal, samuel j. lin, bernard t. lee",alternative metrics of scholarly output,plastic reconstructive surgery,"11 medical and health sciences, 1103 clinical sciences"
315,10.1038/sdata.2018.23,"Datasets2Tools, repository and search engine for bioinformatics datasets, tools and canned analyses",Scientific Data,2018,5,1,Article,"Torre, Denis; Krawczuk, Patrycja; Jagodnik, Kathleen M.; Lachmann, Alexander; Wang, Zichen; Wang, Lily; Kuleshov, Maxim V.; Ma’ayan, Avi",https://app.dimensions.ai/details/publication/pub.1101239071,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,"denis torre, patrycja krawczuk, kathleen m. jagodnik, alexander lachmann, zichen wang, lily wang, maxim v. kuleshov, avi ma'ayan",datasets2tools repository and search engine for bioinformatics datasets tools and canned analyses,scientific data,"08 information and computing sciences, 0801 artificial intelligence and image processing, 0806 information systems"
316,10.1080/11287462.2018.1441780,Hidden concerns of sharing research data by low/middle-income country scientists,Global Bioethics,2018,29,1,Article,"Bezuidenhout, Louise; Chakauya, Ereck",https://app.dimensions.ai/details/publication/pub.1101226772,1605 Policy and Administration; 16 Studies in Human Society,"louise bezuidenhout, ereck chakauya",hidden concerns of sharing research data by low middle income country scientists,global bioethics,"16 studies in human society, 1605 policy and administration"
317,10.1371/journal.pone.0193459,Researchers’ participation in and motivations for engaging with research information management systems,PLoS ONE,2018,13,2,Article,"Stvilia, Besiki; Wu, Shuheng; Lee, Dong Joon",https://app.dimensions.ai/details/publication/pub.1101204770,17 Psychology and Cognitive Sciences; 1701 Psychology,"besiki stvilia, shuheng wu, dong joon lee",researchers participation in and motivations for engaging with research information management systems,plos one,"17 psychology and cognitive sciences, 1701 psychology"
318,10.1016/j.scitotenv.2018.02.015,Harvesting the promise of AOPs: An assessment and recommendations,The Science of The Total Environment,2018,628,Sci. Total Environ. 512-513 2015,Article,"Carusi, Annamaria; Davies, Mark R.; De Grandis, Giovanni; Escher, Beate I.; Hodges, Geoff; Leung, Kenneth M.Y.; Whelan, Maurice; Willett, Catherine; Ankley, Gerald T.",https://app.dimensions.ai/details/publication/pub.1101175788,1117 Public Health and Health Services; 11 Medical and Health Sciences,"annamaria carusi, mark r. davies, giovanni de grandis, beate i. escher, geoff hodges, kenneth m.y. leung, maurice whelan, catherine willett, gerald t. ankley",harvesting the promise of aops an assessment and recommendations,the science of the total environment,"11 medical and health sciences, 1117 public health and health services"
319,10.1056/nejmoa1712746,Aspirin or Rivaroxaban for VTE Prophylaxis after Hip or Knee Arthroplasty,New England Journal of Medicine,2018,378,8,Article,"Anderson, David R; Dunbar, Michael; Murnaghan, John; Kahn, Susan R; Gross, Peter; Forsythe, Michael; Pelet, Stephane; Fisher, William; Belzile, Etienne; Dolan, Sean; Crowther, Mark; Bohm, Eric; MacDonald, Steven J; Gofton, Wade; Kim, Paul; Zukor, David; Pleasance, Susan; Andreou, Pantelis; Doucette, Steve; Theriault, Chris; Abianui, Abongnwen; Carrier, Marc; Kovacs, Michael J; Rodger, Marc A; Coyle, Doug; Wells, Philip S; Vendittoli, Pascal-Andre",https://app.dimensions.ai/details/publication/pub.1101149193,11 Medical and Health Sciences; 1103 Clinical Sciences,"david r anderson, michael dunbar, john murnaghan, susan r kahn, peter gross, michael forsythe, stephane pelet, william fisher, etienne belzile, sean dolan, mark crowther, eric bohm, steven j macdonald, wade gofton, paul kim, david zukor, susan pleasance, pantelis andreou, steve doucette, chris theriault, abongnwen abianui, marc carrier, michael j kovacs, marc a rodger, doug coyle, philip s wells, pascal-andre vendittoli",aspirin or rivaroxaban for vte prophylaxis after hip or knee arthroplasty,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences"
320,10.1016/j.ekir.2018.02.003,The Social Media Revolution in Nephrology Education,Kidney International Reports,2018,3,3,Article,"Colbert, Gates B.; Topf, Joel; Jhaveri, Kenar D.; Oates, Tom; Rheault, Michelle N.; Shah, Silvi; Hiremath, Swapnil; Sparks, Matthew A.",https://app.dimensions.ai/details/publication/pub.1101094487,08 Information and Computing Sciences; 1303 Specialist Studies In Education; 13 Education; 0806 Information Systems,"gates b. colbert, joel topf, kenar d. jhaveri, tom oates, michelle n. rheault, silvi shah, swapnil hiremath, matthew a. sparks",the social media revolution in nephrology education,kidney international reports,"08 information and computing sciences, 0806 information systems, 13 education, 1303 specialist studies in education"
322,10.4103/jehp.jehp_69_17,Do highly cited clinicians get more citations when being present at social networking sites?,Journal of Education and Health Promotion,2018,7,1,Article,"Ramezani-Pakpour-Langeroudi, Fatemeh; Okhovati, Maryam; Talebian, Ali",https://app.dimensions.ai/details/publication/pub.1100916604,11 Medical and Health Sciences; 1103 Clinical Sciences,"fatemeh ramezani-pakpour-langeroudi, maryam okhovati, ali talebian",do highly cited clinicians get more citations when being present at social networking sites,journal of education and health promotion,"11 medical and health sciences, 1103 clinical sciences"
323,10.1056/nejmoa1507598,Trial of Prazosin for Post-Traumatic Stress Disorder in Military Veterans,New England Journal of Medicine,2018,378,6,Article,"Raskind, Murray A; Peskind, Elaine R; Chow, Bruce; Harris, Crystal; Davis-Karim, Anne; Holmes, Hollie A; Hart, Kimberly L; McFall, Miles; Mellman, Thomas A; Reist, Christopher; Romesser, Jennifer; Rosenheck, Robert; Shih, Mei-Chiung; Stein, Murray B; Swift, Robert; Gleason, Theresa; Lu, Ying; Huang, Grant D",https://app.dimensions.ai/details/publication/pub.1100897275,1117 Public Health and Health Services; 11 Medical and Health Sciences,"murray a raskind, elaine r peskind, bruce chow, crystal harris, anne davis-karim, hollie a holmes, kimberly l hart, miles mcfall, thomas a mellman, christopher reist, jennifer romesser, robert rosenheck, mei-chiung shih, murray b stein, robert swift, theresa gleason, ying lu, grant d huang",trial of prazosin for post traumatic stress disorder in military veterans,new england journal of medicine,"11 medical and health sciences, 1117 public health and health services"
324,10.1371/journal.pone.0192290,Does engagement predict research use? An analysis of The Conversation Annual Survey 2016,PLoS ONE,2018,13,2,Article,"Zardo, Pauline; Barnett, Adrian G.; Suzor, Nicolas; Cahill, Tim",https://app.dimensions.ai/details/publication/pub.1100896847,1117 Public Health and Health Services; 11 Medical and Health Sciences,"pauline zardo, adrian g. barnett, nicolas suzor, tim cahill",does engagement predict research use an analysis of the conversation annual survey 2016,plos one,"11 medical and health sciences, 1117 public health and health services"
325,10.1136/bmjopen-2017-018053,"Towards high-quality, useful practice guidelines for child and youth mental health disorders: protocol for a systematic review and consensus exercise",BMJ Open,2018,8,2,Article,"Bennett, Kathryn; Duda, Stephanie; Brouwers, Melissa; Szatmari, Peter; Newton, Amanda; McLennan, John; Sundar, Purnima; Cleverley, Kristin; Charach, Alice; Henderson, Joanna; Courtney, Darren; Rice, Maureen",https://app.dimensions.ai/details/publication/pub.1100865449,1117 Public Health and Health Services; 11 Medical and Health Sciences,"kathryn bennett, stephanie duda, melissa brouwers, peter szatmari, amanda newton, john mclennan, purnima sundar, kristin cleverley, alice charach, joanna henderson, darren courtney, maureen rice",towards high quality useful practice guidelines for child and youth mental health disorders protocol for a systematic review and consensus exercise,bmj open,"11 medical and health sciences, 1117 public health and health services"
326,10.1016/j.earlhumdev.2018.01.015,WASP (Write a Scientific Paper): Understanding research metrics,Early Human Development,2018,118,J. Informet. 1 3 Jul 1 2007,Article,"Cuschieri, Sarah",https://app.dimensions.ai/details/publication/pub.1100837359,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 1702 Cognitive Sciences; 1103 Clinical Sciences,sarah cuschieri,wasp write a scientific paper understanding research metrics,early human development,"11 medical and health sciences, 1103 clinical sciences, 17 psychology and cognitive sciences, 1702 cognitive sciences"
327,10.2217/nmt-2017-0062,Introducing volume 8 of Neurodegenerative Disease Management,Neurodegenerative Disease Management,2018,8,1,Article,"Dormer, Laura",https://app.dimensions.ai/details/publication/pub.1100824912,0601 Biochemistry and Cell Biology; 06 Biological Sciences,laura dormer,introducing volume 8 of neurodegenerative disease management,neurodegenerative disease management,"06 biological sciences, 0601 biochemistry and cell biology"
328,10.1002/aet2.10084,Scholarship by the Clinician‐Educator in Emergency Medicine,AEM Education and Training,2018,2,2,Article,"Franzen, Douglas; Cooney, Robert; Chan, Teresa; Brown, Michael; Diercks, Deborah B.",https://app.dimensions.ai/details/publication/pub.1100807443,1302 Curriculum and Pedagogy; 13 Education,"douglas franzen, robert cooney, teresa chan, michael brown, deborah b. diercks",scholarship by the clinicianeducator in emergency medicine,aem education and training,"13 education, 1302 curriculum and pedagogy"
329,10.1016/j.jvir.2017.12.023,#InterventionalRadiology,Journal of Vascular and Interventional Radiology,2018,29,Plast Reconstr Surg 138 2016,Article,"Hage, Anthony N.; Chick, Jeffrey Forris Beecham; Jeffers, Brian; Srinivasa, Rajiv N.; Gemmete, Joseph J.; Srinivasa, Ravi N.",https://app.dimensions.ai/details/publication/pub.1100775985,11 Medical and Health Sciences; 1103 Clinical Sciences,"anthony n. hage, jeffrey forris beecham chick, brian jeffers, rajiv n. srinivasa, joseph j. gemmete, ravi n. srinivasa",interventionalradiology,journal of vascular and interventional radiology,"11 medical and health sciences, 1103 clinical sciences"
330,10.3332/ecancer.2018.ed78,The case for a regional approach to publication impact,Ecancermedicalscience,2018,12,0,Article,"Bruijns, Stevan; Lamanna, Camillo",https://app.dimensions.ai/details/publication/pub.1100704770,1402 Applied Economics; 14 Economics,"stevan bruijns, camillo lamanna",the case for a regional approach to publication impact,ecancermedicalscience,"14 economics, 1402 applied economics"
331,10.1371/journal.pone.0191124,"The differential impact of scientific quality, bibliometric factors, and social media activity on the influence of systematic reviews and meta-analyses about psoriasis",PLoS ONE,2018,13,1,Article,"Ruano, Juan; Aguilar-Luque, Macarena; Gómez-Garcia, Francisco; Mellado, Patricia Alcalde; Gay-Mimbrera, Jesus; Carmona-Fernandez, Pedro J.; Maestre-López, Beatriz; Sanz-Cabanillas, Juan Luís; Romero, José Luís Hernández; González-Padilla, Marcelino; García-Nieto, Antonio Vélez; Isla-Tejera, Beatriz",https://app.dimensions.ai/details/publication/pub.1100687802,1117 Public Health and Health Services; 11 Medical and Health Sciences,"juan ruano, macarena aguilar-luque, francisco gomez-garcia, patricia alcalde mellado, jesus gay-mimbrera, pedro j. carmona-fernandez, beatriz maestre-lopez, juan luis sanz-cabanillas, jose luis hernandez romero, marcelino gonzalez-padilla, antonio velez garcia-nieto, beatriz isla-tejera",the differential impact of scientific quality bibliometric factors and social media activity on the influence of systematic reviews and meta analyses about psoriasis,plos one,"11 medical and health sciences, 1117 public health and health services"
332,10.1007/s11899-018-0434-1,Twitter Use in the Hematopoietic Cell Transplantation Community,Current Hematologic Malignancy Reports,2018,13,1,Article,"Patel, Sagar S.; Majhail, Navneet S.",https://app.dimensions.ai/details/publication/pub.1100654425,08 Information and Computing Sciences; 0806 Information Systems,"sagar s. patel, navneet s. majhail",twitter use in the hematopoietic cell transplantation community,current hematologic malignancy reports,"08 information and computing sciences, 0806 information systems"
333,10.1056/nejmoa1705971,Trial of Solanezumab for Mild Dementia Due to Alzheimer’s Disease,New England Journal of Medicine,2018,378,4,Article,"Honig, Lawrence S; Vellas, Bruno; Woodward, Michael; Boada, Mercè; Bullock, Roger; Borrie, Michael; Hager, Klaus; Andreasen, Niels; Scarpini, Elio; Liu-Seifert, Hong; Case, Michael; Dean, Robert A; Hake, Ann; Sundell, Karen; Poole Hoffmann, Vicki; Carlson, Christopher; Khanna, Rashna; Mintun, Mark; DeMattos, Ronald; Selzler, Katherine J; Siemers, Eric",https://app.dimensions.ai/details/publication/pub.1100623648,1109 Neurosciences; 11 Medical and Health Sciences; 1103 Clinical Sciences,"lawrence s honig, bruno vellas, michael woodward, merce boada, roger bullock, michael borrie, klaus hager, niels andreasen, elio scarpini, hong liu-seifert, michael case, robert a dean, ann hake, karen sundell, vicki poole hoffmann, christopher carlson, rashna khanna, mark mintun, ronald demattos, katherine j selzler, eric siemers",trial of solanezumab for mild dementia due to alzheimers disease,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1109 neurosciences"
334,10.1089/bio.2017.0110,Enhancing Reuse of Data and Biological Material in Medical Research: From FAIR to FAIR-Health,Biopreservation and Biobanking,2018,16,2,Article,"Holub, Petr; Kohlmayer, Florian; Prasser, Fabian; Mayrhofer, Michaela Th.; Schlünder, Irene; Martin, Gillian M.; Casati, Sara; Koumakis, Lefteris; Wutte, Andrea; Kozera, Łukasz; Strapagiel, Dominik; Anton, Gabriele; Zanetti, Gianluigi; Sezerman, Osman Ugur; Mendy, Maimuna; Valík, Dalibor; Lavitrano, Marialuisa; Dagher, Georges; Zatloukal, Kurt; van Ommen, GertJan B.; Litton, Jan-Eric",https://app.dimensions.ai/details/publication/pub.1100566354,10 Technology; 1004 Medical Biotechnology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,"petr holub, florian kohlmayer, fabian prasser, michaela th. mayrhofer, irene schlunder, gillian m. martin, sara casati, lefteris koumakis, andrea wutte, lukasz kozera, dominik strapagiel, gabriele anton, gianluigi zanetti, osman ugur sezerman, maimuna mendy, dalibor valik, marialuisa lavitrano, georges dagher, kurt zatloukal, gertjan b. van ommen, jan-eric litton",enhancing reuse of data and biological material in medical research from fair to fair health,biopreservation and biobanking,"06 biological sciences, 0601 biochemistry and cell biology, 10 technology, 1004 medical biotechnology"
335,10.1017/s1041610217002915,International Psychogeriatrics turns a new page: new editor begins his term,International Psychogeriatrics,2018,30,1,Article,"Jeste, Dilip V",https://app.dimensions.ai/details/publication/pub.1100565129,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences,dilip v jeste,international psychogeriatrics turns a new page new editor begins his term,international psychogeriatrics,"11 medical and health sciences, 17 psychology and cognitive sciences"
336,10.1016/j.jacc.2017.11.045,A New Educational Framework to Improve Lifelong Learning for Cardiologists,Journal of the American College of Cardiology,2018,71,4,Article,"Narang, Akhil; Velagapudi, Poonam; Rajagopalan, Bharath; LeBude, Bryan; Kithcart, Aaron P.; Snipelisky, David; Sinha, Shashank S.",https://app.dimensions.ai/details/publication/pub.1100559462,1102 Cardiorespiratory Medicine and Haematology; 1117 Public Health and Health Services; 11 Medical and Health Sciences,"akhil narang, poonam velagapudi, bharath rajagopalan, bryan lebude, aaron p. kithcart, david snipelisky, shashank s. sinha",a new educational framework toimprovelifelong learning forcardiologists,journal of the american college of cardiology,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1117 public health and health services"
337,10.1186/s12944-018-0660-5,Mechanisms of multiple neurotransmitters in the effects of Lycopene on brain injury induced by Hyperlipidemia,Lipids in Health and Disease,2018,17,1,Article,"Yang, Weichun; Shen, Ziyi; Wen, Sixian; Wang, Wei; Hu, Minyu",https://app.dimensions.ai/details/publication/pub.1100413986,1109 Neurosciences; 11 Medical and Health Sciences,"weichun yang, ziyi shen, sixian wen, wei wang, minyu hu",mechanisms of multiple neurotransmitters in the effects of lycopene on brain injury induced by hyperlipidemia,lipids in health and disease,"11 medical and health sciences, 1109 neurosciences"
338,10.5195/jmla.2018.205,Research evaluation support services in biomedical libraries,Journal of the Medical Library Association,2018,106,1,Article,"Gutzman, Karen Elizabeth; Bales, Michael E.; Belter, Christopher W.; Chambers, Thane; Chan, Liza; Holmes, Kristi L.; Lu, Ya-Ling; Palmer, Lisa A.; Reznik-Zellen, Rebecca C.; Sarli, Cathy C.; Suiter, Amy M.; Wheeler, Terrie R.",https://app.dimensions.ai/details/publication/pub.1100393097,08 Information and Computing Sciences; 0807 Library and Information Studies,"karen elizabeth gutzman, michael e. bales, christopher w. belter, thane chambers, liza chan, kristi l. holmes, ya-ling lu, lisa a. palmer, rebecca c. reznik-zellen, cathy c. sarli, amy m. suiter, terrie r. wheeler",research evaluation support services in biomedical libraries,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies"
339,10.1056/nejmoa1703768,IVF Transfer of Fresh or Frozen Embryos in Women without Polycystic Ovaries,New England Journal of Medicine,2018,378,2,Article,"Vuong, Lan N.; Dang, Vinh Q.; Ho, Tuong M.; Huynh, Bao G.; Ha, Duc T.; Pham, Toan D.; Nguyen, Linh K.; Norman, Robert J.; Mol, Ben W.",https://app.dimensions.ai/details/publication/pub.1100292988,11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,"lan n. vuong, vinh q. dang, tuong m. ho, bao g. huynh, duc t. ha, toan d. pham, linh k. nguyen, robert j. norman, ben w. mol",ivf transfer of fresh or frozen embryos in women without polycystic ovaries,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine"
340,10.2217/cer-2017-0087,Introducing Volume 7 of the Journal of Comparative Effectiveness Research,Journal of Comparative Effectiveness Research,2018,7,1,Article,"Dormer, Laura",https://app.dimensions.ai/details/publication/pub.1100223110,18 Law and Legal Studies; 1801 Law,laura dormer,introducing volume 7 of the journal of comparative effectiveness research,journal of comparative effectiveness research,"18 law and legal studies, 1801 law"
341,10.1371/journal.pone.0190482,Local chatter or international buzz? Language differences on posts about Zika research on Twitter and Facebook,PLoS ONE,2018,13,1,Article,"Barata, Germana; Shores, Kenneth; Alperin, Juan Pablo",https://app.dimensions.ai/details/publication/pub.1100221101,"2004 Linguistics; 20 Language, Communication and Culture","germana barata, kenneth shores, juan pablo alperin",local chatter or international buzz language differences on posts about zika research on twitter and facebook,plos one,"20 language, communication and culture, 2004 linguistics"
342,10.7759/cureus.2021,Curated Collections for Educators: Five Key Papers on Evaluating Digital Scholarship,Cureus,2018,10,1,Article,"Quinn, Antonia; Chan, Teresa M; Sampson, Christopher; Grossman, Catherine; Butts, Christine; Casey, John; Caretta-Weyer, Holly; Gottlieb, Michael",https://app.dimensions.ai/details/publication/pub.1100186351,1303 Specialist Studies In Education; 13 Education,"antonia quinn, teresa m chan, christopher sampson, catherine grossman, christine butts, john casey, holly caretta-weyer, michael gottlieb",curated collections for educators five key papers on evaluating digital scholarship,cureus,"13 education, 1303 specialist studies in education"
343,10.1177/1745691617697078,Enhancing the Effectiveness of Work Groups and Teams: A Reflection,Perspectives on Psychological Science,2018,13,2,Article,"Kozlowski, Steve W. J.",https://app.dimensions.ai/details/publication/pub.1099806978,17 Psychology and Cognitive Sciences; 1701 Psychology,steve w. j. kozlowski,enhancing the effectiveness of work groups and teams a reflection,perspectives on psychological science,"17 psychology and cognitive sciences, 1701 psychology"
